user_id,default_flag,age,total_loan,sum_real_estate,sum_others,more_90_days_overdue,month_salary,delayed_30_59,dependents,limite_credito,relacion_deudas_patrimonio,cuartil_age,cuartil_total_loan,cuartil_sum_others,cuartil_sum_real_estate,cuartil_more_90_days_overdue,cuartil_month_salary,cuartil_delayed_30_59,cuartil_limite_credito,cuartil_relacion_deudas_patrimonio
906,0,41,6,0,6,0,6125,0,2,3,0,1,2,2,1,1,2,3,2,1
32534,0,78,7,0,7,0,5742,0,0,0,0,4,2,3,2,2,2,1,1,1
22766,0,80,3,0,3,0,6675,0,0,0,0,4,1,1,1,3,3,3,1,1
22636,0,74,7,0,7,0,2083,0,0,1,0,4,2,3,1,2,1,1,1,1
3242,0,62,2,0,2,0,5000,0,1,100,0,3,1,1,1,2,2,2,4,1
24670,0,86,4,0,4,0,6675,0,0,0,0,4,1,1,2,3,3,2,1,1
35169,0,42,3,0,3,0,5833,0,0,4,0,2,1,1,1,3,2,3,2,1
35721,0,62,2,0,2,0,4166,0,0,0,0,3,1,1,2,1,2,3,1,1
15733,0,57,6,0,6,0,7500,0,0,0,0,3,2,2,1,2,4,3,1,1
14907,0,26,1,0,1,0,4400,0,0,0,0,1,1,1,1,3,2,1,1,1
29467,0,48,6,0,6,0,6675,0,0,0,0,2,2,2,1,2,3,1,1,1
149,0,78,6,0,6,0,6675,0,0,0,0,4,2,2,1,1,3,3,1,1
21938,0,63,1,0,1,0,6675,0,0,0,0,4,1,1,1,3,3,3,1,1
22814,0,89,7,0,7,0,5500,0,0,2,0,4,2,2,1,4,2,4,1,1
32453,0,84,1,0,1,0,4500,0,0,1,0,4,1,1,1,1,2,3,1,1
11195,0,62,7,0,7,0,7000,0,0,3,0,3,2,2,1,3,3,4,1,1
22349,0,64,1,0,1,0,3500,0,0,1,0,4,1,1,1,3,1,4,1,1
13191,0,30,2,0,2,0,6675,0,0,0,0,1,1,1,2,2,3,2,1,1
5958,0,90,7,0,7,0,2485,0,0,2,1,4,2,3,1,1,1,2,1,1
11168,0,66,4,0,4,0,9896,0,0,5,1,4,1,1,1,2,4,1,2,1
3233,0,75,5,0,5,0,23916,0,0,6,1,4,1,2,2,1,4,3,2,1
3837,0,78,4,0,4,0,7000,0,0,3,1,4,1,2,1,1,3,4,1,1
29427,0,24,5,0,5,0,14550,0,0,20,1,1,2,2,1,2,4,3,3,1
10012,0,68,3,0,3,0,9400,0,1,9,1,4,1,1,2,4,4,2,2,1
9932,0,74,4,0,4,0,8833,0,1,18,1,4,1,1,1,2,4,3,3,1
25268,0,69,8,0,8,0,7155,0,0,2,1,4,3,3,1,2,3,4,1,1
15126,0,34,5,0,5,0,3500,0,0,15,1,1,1,2,1,4,1,1,3,1
34629,0,23,1,0,1,0,929,0,0,18,1,1,1,1,1,1,1,2,3,1
6349,0,78,7,0,7,0,3971,0,0,2,1,4,2,3,1,4,1,2,1,1
15008,0,66,7,0,7,0,10833,0,1,2,1,4,2,3,1,1,4,2,1,1
3941,0,74,6,0,6,0,4266,0,0,6,2,4,2,2,1,4,2,1,2,1
14089,0,50,1,0,1,0,5162,0,2,100,2,2,1,1,1,1,2,3,4,1
14195,0,60,4,0,4,0,17666,0,1,0,2,3,1,1,1,1,4,1,1,1
20935,0,72,4,0,4,0,2500,0,0,7,2,4,1,2,1,4,1,2,2,1
28346,0,41,6,0,6,0,7250,0,0,20,2,1,2,2,2,3,3,2,3,1
31168,0,74,8,0,8,0,2000,0,0,2,2,4,3,3,2,2,1,1,1,1
18525,0,61,4,0,4,0,5446,0,0,9,3,3,1,1,2,4,2,3,2,1
29723,0,63,8,0,8,0,8083,0,0,6,3,4,2,3,1,2,4,2,2,1
31440,0,65,5,0,5,0,7598,0,0,18,3,4,1,2,1,2,4,2,3,1
14451,0,80,6,0,6,0,960,0,0,12,3,4,2,2,2,2,1,2,2,1
23395,0,63,6,1,5,0,12500,0,0,100,3,4,2,2,2,2,4,1,4,1
20705,0,58,2,0,2,0,3000,0,1,70,3,3,1,1,1,3,1,2,4,1
29209,0,40,2,0,2,0,4582,0,0,61,4,1,1,1,1,3,2,1,4,1
13378,0,36,1,0,1,1,5800,0,3,100,4,1,1,1,2,4,2,2,4,1
14398,0,25,3,0,3,0,2900,0,0,76,5,1,1,1,1,4,1,1,4,1
2172,0,55,8,0,8,0,9255,1,0,16,6,3,3,3,1,2,4,4,3,1
1920,0,75,3,0,3,0,5884,0,0,12,6,4,1,1,2,3,2,3,2,1
211,0,71,7,0,7,0,5116,0,0,10,6,4,2,3,2,4,2,3,2,1
25720,0,46,11,0,11,0,10500,0,0,6,6,2,3,4,2,3,4,2,2,1
20545,0,69,3,0,3,0,4200,0,0,28,6,4,1,1,1,4,2,2,3,1
32728,0,71,26,1,25,0,10500,0,0,1,6,4,4,4,3,3,4,1,1,1
11366,0,28,2,0,2,0,4000,0,0,100,7,1,1,1,1,4,2,3,4,1
2785,0,42,3,0,3,0,4500,0,1,0,7,1,1,1,1,2,2,2,1,1
5506,0,41,6,0,6,0,4525,0,0,34,7,1,2,2,1,2,2,3,3,1
14019,0,52,3,1,2,0,12725,1,0,20,8,2,1,1,3,2,4,4,3,1
8157,0,44,6,0,6,0,5500,0,0,27,8,2,2,2,1,2,2,2,3,1
31243,0,37,3,0,3,0,9416,0,0,100,8,1,1,1,2,3,4,2,4,1
102,0,90,9,0,9,0,7083,0,0,0,8,4,3,3,1,4,3,4,1,1
23220,0,34,3,0,3,0,11300,0,4,84,9,1,1,1,1,3,4,2,4,1
