user_id,default_flag,age,total_loan,sum_real_estate,sum_others,more_90_days_overdue,delayed_30_59,dependents,limite_credito,relacion_deudas_patrimonio,month_salary,cuartil_age,cuartil_total_loan,cuartil_month_salary,cuartil_limite_credito,cuartil_relacion_deudas_patrimonio,rr_age,rr_total_loan,rr_more_90_days_overdue,rr_delayed_30_59,rr_month_salary,rr_limite_credito,rango_age,rango_total_loan,rango_more_90_days_overdue,rango_delayed_30_59,rango_month_salary,rango_limite_credito,riesgo_age,riesgo_total_loan,riesgo_more_90_days_overdue,riesgo_delayed_30_59,riesgo_month_salary,riesgo_limite_credito
2682,1,76,14,0,14,2,3,0,84,13,2009,4,4,1,4,1,0.2987,0.6699,24.6195,5.5689,1.6589,3.921,63 - 97,11 - 42,1 - 5,1 - 4,201 - 3999,53 - 120,Riesgo Mínimo,Riesgo Mínimo,Riesgo Moderado,Riesgo Bajo,Riesgo Bajo,Riesgo Bajo
20238,1,42,5,0,5,3,4,3,120,18,3600,2,1,1,4,2,1.2834,1.1143,24.6195,5.5689,1.6589,3.921,42 - 51,5 - 7,1 - 5,1 - 4,201 - 3999,53 - 120,Riesgo Bajo,Riesgo Bajo,Riesgo Moderado,Riesgo Bajo,Riesgo Bajo,Riesgo Bajo
12281,1,55,18,6,12,7,0,1,86,60,11046,3,4,4,4,3,0.7329,0.6699,208.9606,0.1198,0.4559,3.921,52 - 62,11 - 42,6 - 10,0 - 0,7500 - 45000,53 - 120,Riesgo Mínimo,Riesgo Mínimo,Riesgo Elevado,Riesgo Mínimo,Riesgo Mínimo,Riesgo Bajo
23043,1,37,10,2,8,1,1,2,99,120,5600,1,3,2,4,4,1.7573,0.6708,24.6195,5.5689,1.2387,3.921,21 - 41,8 - 10,1 - 5,1 - 4,4000 - 6240,53 - 120,Riesgo Bajo,Riesgo Mínimo,Riesgo Moderado,Riesgo Bajo,Riesgo Bajo,Riesgo Bajo
27418,1,45,5,0,5,1,1,0,120,120,7215,2,1,3,4,4,1.2834,1.1143,24.6195,5.5689,0.6857,3.921,42 - 51,5 - 7,1 - 5,1 - 4,6241 - 7499,53 - 120,Riesgo Bajo,Riesgo Bajo,Riesgo Moderado,Riesgo Bajo,Riesgo Mínimo,Riesgo Bajo
19610,1,48,5,0,5,2,0,0,120,1,2800,2,1,1,4,1,1.2834,1.1143,24.6195,0.1198,1.6589,3.921,42 - 51,5 - 7,1 - 5,0 - 0,201 - 3999,53 - 120,Riesgo Bajo,Riesgo Bajo,Riesgo Moderado,Riesgo Mínimo,Riesgo Bajo,Riesgo Bajo
3056,1,52,13,1,12,2,4,0,100,25,7904,2,4,4,4,2,0.7329,0.6699,24.6195,5.5689,0.4559,3.921,52 - 62,11 - 42,1 - 5,1 - 4,7500 - 45000,53 - 120,Riesgo Mínimo,Riesgo Mínimo,Riesgo Moderado,Riesgo Bajo,Riesgo Mínimo,Riesgo Bajo
21893,1,64,11,1,10,4,3,0,22,35,3400,4,3,1,3,2,0.2987,0.6699,24.6195,5.5689,1.6589,0.1678,63 - 97,11 - 42,1 - 5,1 - 4,201 - 3999,15 - 52,Riesgo Mínimo,Riesgo Mínimo,Riesgo Moderado,Riesgo Bajo,Riesgo Bajo,Riesgo Mínimo
7363,1,43,23,8,15,1,3,1,65,63,17118,2,4,4,4,3,1.2834,0.6699,24.6195,5.5689,0.4559,3.921,42 - 51,11 - 42,1 - 5,1 - 4,7500 - 45000,53 - 120,Riesgo Bajo,Riesgo Mínimo,Riesgo Moderado,Riesgo Bajo,Riesgo Mínimo,Riesgo Bajo
8730,1,59,13,0,13,1,4,1,120,64,4916,3,4,2,4,3,0.7329,0.6699,24.6195,5.5689,1.2387,3.921,52 - 62,11 - 42,1 - 5,1 - 4,4000 - 6240,53 - 120,Riesgo Mínimo,Riesgo Mínimo,Riesgo Moderado,Riesgo Bajo,Riesgo Bajo,Riesgo Bajo
