user_id,default_flag,age,sex,number_dependents,month_salary,total_loan,sum_real_estate,sum_others,more_90_days_overdue,using_lines_not_secured_personal_assets,number_times_delayed_payment_loan_30_59_days,debt_ratio
12227,0,45,M,0,3060,1,1,0,0,0.9999999,0,0.432211696
23181,0,42,F,0,3500,1,1,0,0,0.9999999,1,0.286203942
34766,0,52,F,1,4297,1,1,0,0,0.9999999,0,0.263610982
16167,0,48,M,0,2015,1,1,0,3,0.9999999,0,0.261904762
21549,0,39,M,4,11916,1,1,0,0,0.9999999,0,0.218679198
1123,0,44,M,1,13500,1,1,0,0,0.9999999,0,0.127175765
18677,0,62,M,0,3440,1,1,0,0,0.9999999,0,0.320546353
19225,0,39,M,2,3298,1,1,0,1,0.9999999,0,0.597756896
17330,0,37,F,0,1600,1,1,0,0,0.9999999,0,0.778888195
9880,0,39,M,2,3000,1,1,0,0,0.9999999,0,0.362545818
27568,0,53,M,0,9000,1,1,0,0,0.9999999,1,0.19008999
27484,0,31,F,0,1950,1,1,0,0,0.9999999,0,0.153767299
29773,0,27,F,0,1000,1,1,0,0,0.9999999,0,1.331668332
5771,0,53,M,0,4800,1,1,0,0,0.9999999,1,0.711518434
21960,0,36,M,1,1630,1,1,0,0,0.9999999,0,0.519926426
3889,0,59,M,0,4250,1,1,0,0,0.9999999,0,0.249117855
33986,0,44,F,2,6983,1,1,0,0,0.9999999,0,0.01847079
5223,0,52,M,0,5350,1,1,0,1,0.9999999,2,0.399551486
8048,0,49,M,2,2800,1,1,0,0,0.9999999,0,0.360585505
30504,0,40,F,1,7500,1,1,0,0,0.9999999,1,0.253166245
32944,0,62,F,2,3700,1,1,0,1,0.9999999,1,0.134017833
10538,0,49,F,0,8333,1,1,0,2,0.9999999,0,0.200023998
15027,0,61,M,0,5400,1,1,0,1,0.9999999,0,0.441770043
21429,0,32,M,0,3158,1,1,0,0,0.9999999,0,0.712567268
26265,0,57,M,0,3800,1,1,0,0,0.9999999,0,0.758747698
28857,0,67,M,0,2433,1,1,0,3,3.384341637,0,0.91125719
31805,0,62,M,1,3000,1,1,0,0,0.9999999,1,0.355881373
11269,0,49,M,2,8620,1,1,0,0,0.9999999,0,0.01612342
17825,0,35,M,2,4700,1,1,0,0,0.9999999,0,0.617102744
18753,0,53,F,3,7748,1,1,0,2,0.9999999,0,0.198606272
26440,0,58,M,0,1900,1,1,0,0,0.9999999,0,0.309310889
16430,0,69,F,1,4600,1,1,0,0,0.9999999,0,0.254509889
26487,0,46,M,0,4000,2,2,0,0,0.9999999,0,1.160459885
17628,1,59,M,0,6000,2,2,0,1,0.9999999,3,0.279620063
12507,0,55,M,0,7300,2,2,0,0,0.9999999,0,0.420079441
2521,0,67,F,1,1528,2,2,0,0,0.9999999,0,0.426422498
28679,0,52,F,0,2500,2,2,0,2,0.9999999,1,0.620951619
21029,0,38,M,2,4217,2,2,0,1,0.9999999,1,0.302750119
12776,0,81,F,0,6806,2,2,0,0,0.9999999,0,0.116057
11682,0,46,M,0,6404,2,2,0,0,0.9999999,0,0.179078845
32921,0,35,F,1,3750,2,2,0,0,0.9999999,0,0.484137563
28410,0,49,F,2,4333,2,2,0,0,0.9999999,1,0.449238579
13298,0,45,F,3,16000,2,2,0,0,0.9999999,0,0.122429848
22595,0,63,M,0,3500,2,2,0,0,0.038539905,0,0.267066552
307,1,31,M,1,4150,3,3,0,2,0.9999999,1,0.678390749
5860,0,60,M,0,10400,3,3,0,0,0.9999999,0,0.253917893
5673,0,78,F,0,2500,1,0,1,0,0.002428225,0,0.0
6546,0,22,F,0,704,1,0,1,0,0.051896208,0,0.0
7030,0,42,F,2,3750,1,0,1,0,0.9999999,0,0.0
7957,0,69,M,0,1500,1,0,1,0,0.0,0,0.0
7962,0,92,M,0,1100,1,0,1,0,0.0,0,0.0
8340,0,43,M,7,3040,1,0,1,0,0.9999999,0,0.155212101
10742,0,25,M,0,3000,1,0,1,0,0.9999999,0,0.078640453
10790,0,60,F,1,7700,1,0,1,0,0.051774901,0,0.003506038
12538,0,28,F,2,1920,1,0,1,1,0.9999999,0,0.167621031
18555,0,57,M,0,6000,1,0,1,0,0.9999999,2,0.055990668
22071,0,73,M,0,1035,1,0,1,0,0.9999999,0,0.0
22193,0,22,F,0,1200,1,0,1,0,0.9999999,0,0.205661948
22473,1,41,F,1,4600,1,0,1,5,0.9999999,1,0.565311889
33486,0,26,F,0,2500,1,0,1,0,0.9999999,0,0.132746901
35388,0,46,M,2,4088,1,0,1,0,0.9999999,0,0.022743947
1943,0,27,M,0,1500,1,0,1,1,0.0,0,0.294470353
16985,0,27,M,0,4566,1,0,1,0,0.901879749,0,0.044230348
22177,0,37,M,1,2600,1,0,1,0,0.9999999,0,0.07266436
25097,0,59,M,1,7275,1,0,1,0,0.9999999,0,0.068856515
25753,0,84,F,0,2500,1,0,1,0,0.07043172,0,0.019192323
30285,0,27,M,0,1500,1,0,1,0,0.9999999,1,0.180546302
30323,0,23,M,0,820,1,0,1,0,0.9999999,0,0.007308161
30438,0,40,F,0,5694,1,0,1,0,0.050529965,0,0.003863038
1390,0,72,F,0,3259,1,0,1,0,0.752024798,0,0.069018405
1945,0,35,M,0,5166,1,0,1,0,0.9999999,0,0.02690149
2393,0,23,F,0,1000,1,0,1,0,0.9999999,0,0.107892108
5020,0,44,M,1,2727,1,0,1,0,0.9999999,0,0.142961877
5452,0,76,M,0,2257,1,0,1,0,0.9999999,0,0.147032772
7748,0,30,M,0,1200,1,0,1,0,0.9999999,0,0.0
9028,0,86,M,0,3675,1,0,1,0,0.0,0,0.0
9397,0,63,M,0,3700,1,0,1,1,0.9999999,0,0.011078087
9792,0,41,M,1,5100,1,0,1,0,0.340977268,0,0.029994119
12512,1,42,M,1,3333,1,0,1,4,0.9999999,0,0.120575885
